Food_Name,Category,Calories,Carbohydrates,Protein,Fats,Free_Sugar,Fibre,Sodium,Calcium,Iron,Vitamin_C,Folate,diet_type
Chicken Tikka Small,Dinner,200,5,22,10,1,1,350,50,2,2,30,mixed
Clear Soup Salad,Dinner,180,15,5,5,3,4,200,60,1.5,25,60,veg
Dal Soup,Dinner,200,25,9,5,2,5,250,70,2,8,60,veg
Egg Omelette,Dinner,220,5,13,15,1,1,200,60,2,5,25,mixed
Egg White Bhurji,Dinner,150,3,18,5,1,0,120,30,1,0,15,mixed
Fish Fry Less Oil,Dinner,250,5,22,14,0,1,400,60,2,0,30,mixed
Fish Grill,Dinner,280,5,25,15,0,1,300,50,2,0,20,mixed
Grilled Chicken Salad,Dinner,300,10,28,15,0,4,350,60,2,20,40,mixed
Moong Dal Khichdi,Dinner,270,38,10,6,3,6,300,60,2,12,75,veg
Paneer Salad,Dinner,300,15,14,18,3,3,350,200,2,10,50,veg
Paneer Tikka Salad,Dinner,300,10,18,20,3,4,300,200,2,10,50,veg
Stir Fry Vegetables,Dinner,200,20,6,8,4,6,250,100,2,30,80,veg
Tofu Stir Fry,Dinner,250,18,14,12,2,5,300,120,3,15,70,veg
Vegetable Dalia Dinner,Dinner,230,38,7,5,3,6,250,35,2,8,40,veg
