Dish Name,Calories,Carbohydrates,Protein,Fats,Free_Sugar,Fibre,Sodium,Calcium,Iron,Vitamin_C,Folate
clear tomato soup,60,10,2,2,4,2,400,30,1.2,20,20
lentil soup,120,18,7,2,2,3,300,40,2.5,10,30
chicken consomme,80,2,10,3,1,1,300,30,1.5,1,10
cream tomato soup,110,14,3,4,4,2,350,40,1,20,25
cream green peas soup,140,16,6,5,3,4,350,50,1.5,20,40
cream spinach soup,120,10,5,5,2,3,350,80,2.5,30,80
cream mixed veg soup,110,14,4,4,3,3,350,60,1.5,20,40
cream mushroom soup,130,12,4,6,3,2,350,60,1.5,5,20
chicken sweet corn soup,120,10,8,4,2,1,400,80,2,2,15
minestrone soup,110,16,5,3,2,3,350,50,1.5,10,25
egg drop soup,100,6,7,4,1,1,350,70,2,5,20
cabbage meatball soup,180,8,10,12,1,1,350,40,1.5,10,20
french onion soup,140,12,6,6,3,2,400,100,2.5,5,20
hot and sour soup,60,8,3,2,2,1,300,20,0.5,15,20
talaumein soup,120,14,6,4,2,2,350,40,1.5,10,30
cold cucumber soup,60,6,3,2,3,1,150,100,0.5,5,25
cold summer soup,120,10,5,5,2,2,300,40,1.5,10,30
chapati/roti,120,22,3.5,2,1,3,150,20,1.5,0,10
plain paratha,250,30,5,12,2,4,200,30,1.5,0,10
aloo paratha,220,28,5,10,2,4,200,30,1.5,5,15
mooli paratha,200,26,5,9,2,4,200,35,1.5,8,20
gobi paratha,200,25,5,9,2,4,200,35,1.5,15,25
dal paratha,260,30,7,12,2,5,200,30,2,2,30
sprouted moong paratha,240,28,7,10,2,4,200,25,2,2,20
matar paratha,220,26,6,9,2,5,200,30,1.5,15,30
keema paratha,280,24,12,14,2,3,250,30,2,2,15
paneer paratha,280,26,10,14,4,3,250,120,2,2,30
besan palak paratha,240,24,7,11,2,4,200,40,2,8,40
poori,300,40,6,12,2,3,200,20,1,0,10
palak poori,280,38,6,11,2,3,200,30,1,5,20
methi poori,280,38,6,11,2,3,200,30,1,5,15
dal stuffed poori,320,42,7,13,2,3,250,25,1,1,15
aloo poori,310,40,6,13,2,3,250,25,1,3,10
tandoori paratha,260,30,5,12,2,4,150,30,1.5,0,10
boiled rice,130,28,2.5,0.5,0,1,5,10,0.5,0,10
plain pulao,170,30,4,5,2,2,200,20,0.8,3,20
mixed veg pulao,160,28,4,4,2,3,200,30,1,15,40
mushroom pulao,170,28,4,5,2,2,200,20,0.8,3,25
sprouted moong pulao,160,28,5,4,2,3,200,25,1,8,30
paneer pulao,200,26,8,9,2,2,200,120,1,3,30
peanut pulao,220,28,6,10,2,3,200,30,1.5,3,30
navratan pulao,200,30,5,7,3,3,300,60,1.2,10,40
green chickpeas pulao,180,28,6,5,2,4,250,30,1.2,10,80
mutton biryani,220,25,10,9,2,2,300,70,1.5,5,30
vegetable biryani,180,25,4,6,2,3,250,40,1,15,50
lemon rice,170,26,4,6,1,2,200,20,1,10,30
sweet rice,220,45,3,4,20,1,50,20,0.5,1,10
curd rice,160,28,5,4,3,2,250,120,1,5,20
tamarind rice,250,45,6,8,10,3,250,50,2,2,25
spanish rice,160,30,4,3,2,2,150,20,1,15,40
fried rice,180,28,5,6,2,2,250,40,1,20,50
macaroni cheese,220,25,7,10,4,1,250,150,1,10,20
veg chowmein,170,22,4,6,2,2,250,40,1,25,40
chicken chowmein,200,20,8,8,2,2,300,40,1,20,40
cheese noodles,200,20,7,9,3,2,250,100,1,10,30
spaghetti cheese balls,300,30,8,14,2,1,200,80,1,20,40
penne pasta,220,28,6,8,4,2,250,70,1,10,30
pasta hot pot,200,22,6,7,5,1,250,60,1,20,40
chicken lasagne,220,20,12,10,2,1,250,120,1,5,30
fettuccine spinach,180,20,5,8,2,1,200,60,1,20,80
naan,260,45,8,5,5,2,300,80,1.5,0,10
bhatura,320,40,6,12,2,2,200,30,1,0,10
idli,130,28,4,1,1,2,100,10,0.5,0,5
masala dosa,200,30,5,8,2,2,200,20,1,10,20
rava dosa,220,32,6,8,3,2,200,80,1,2,10
uttapam,200,28,5,6,2,2,200,20,1,5,10
paneer kathi roll,300,25,10,15,3,2,250,100,1.5,10,40
makki roti,250,35,5,8,1,4,200,30,1,2,10
moong dal,110,18,7,2,1,3,150,20,1,2,30
urad dal,130,18,7,3,1,3,150,25,1,2,30
chana dal lauki,140,20,6,4,1,4,150,30,1,10,60
whole moong dal,120,18,7,2,1,3,150,25,1,10,40
masoor dal,120,18,7,2,1,3,150,20,1.2,10,40
moth dal,130,18,7,3,1,3,150,30,1.2,10,50
whole urad dal,130,18,7,3,1,3,150,25,1.2,10,40
dal makhani,200,20,8,8,2,4,200,60,1.5,10,50
black chana curry,180,22,7,6,3,6,250,50,2,10,60
chole curry,200,24,7,7,4,6,250,40,2,10,80
lobia curry,180,22,7,6,3,5,250,40,2,10,60
soyabean curry,220,12,12,10,2,6,250,70,2.5,10,80
rajma curry,180,22,7,6,3,5,250,50,2,10,70
sambar,100,12,4,3,2,3,200,30,1,15,40
kadhi pakora,250,20,6,12,2,2,200,40,1,5,40
khatta chana,200,22,7,8,4,5,300,40,2,15,100
sprouted moong chat,80,12,4,1,2,3,100,30,1,20,40
aloo gobi,120,10,3,7,1,3,200,30,1,30,40
aloo capsicum,130,12,3,8,1,2,200,20,1,30,30
cabbage peas,100,10,4,4,1,4,200,50,1,30,40
gajar methi,90,8,3,5,2,4,200,120,2,30,50
aloo methi,140,12,3,9,1,3,200,100,2,30,40
baingan bharta,110,8,2,6,2,4,150,20,1,20,40
dry aloo,120,20,2,4,1,2,200,20,1,20,20
beans coconut,150,10,3,10,2,5,200,50,1,5,40
gobi coconut,140,10,3,10,2,5,200,40,1,30,40
bharwa bhindi,120,8,3,7,1,4,200,80,1,20,40
bharwa tinda,100,8,2,6,2,3,200,30,1,20,40
bharwa capsicum,110,10,2,6,1,2,200,20,1,30,30
bharwa baingan,120,8,2,7,1,4,200,30,1,5,20
aloo matar,130,14,4,6,2,3,200,30,1,40,50
matar paneer,180,12,8,10,3,3,200,100,1.2,30,80
matar mushroom,140,12,5,6,2,3,200,30,1,30,50
matar sabzi,130,12,5,6,2,4,200,30,1,40,60
paneer curry,220,10,10,14,4,2,250,180,1,10,60
lotus stem curry,140,14,3,7,2,3,200,30,1.5,20,40
kofta gravy,150,10,2,8,3,2,250,40,1,10,20
kofta curry (all types avg),250,18,6,15,2,2,200,50,1,20,40
baked vegetables,100,10,4,4,2,2,150,80,1,30,40
baked veg spinach,110,12,4,4,2,2,150,80,1,40,80
baked potato,130,20,3,4,2,2,200,90,1,10,10
veg shepherd pie,150,15,5,7,2,2,150,80,1,30,40
baked brinjal,80,8,2,3,2,3,100,30,1,40,50
dum aloo,180,15,3,10,1,2,200,30,1,20,30
palak paneer,180,10,8,10,3,3,200,120,2,40,100
methi chaman,200,10,6,12,2,2,150,80,1,40,80
sarson saag,120,8,4,6,1,4,150,120,2,40,80
jackfruit sabzi,140,18,3,6,3,3,150,20,0.5,10,30
avial,120,12,3,6,3,4,150,40,1,30,60
al yakhani,140,10,4,8,3,2,200,100,1,5,40
shahi paneer,220,10,8,14,4,2,250,150,1,20,50
paneer butter masala,230,12,9,14,5,2,250,170,1,15,50
methi malai paneer,240,12,9,16,4,2,250,180,1,15,50
chilli paneer,260,14,10,14,3,2,250,120,1,10,30
paneer makhana korma,250,12,8,16,3,2,200,120,1,5,40
kadhai paneer,200,12,8,10,3,2,200,120,1,20,50
roghan josh,220,10,12,14,2,2,250,120,2,10,30
palak mutton,180,8,12,10,2,3,200,120,2,30,80
matar keema,180,12,12,10,2,3,200,50,1.5,20,50
keema kofta curry,220,12,12,12,2,2,250,60,1.5,5,20
gushtaba,180,10,10,10,2,1,200,60,1,5,20
mutton yakhni,120,2,10,7,1,1,150,80,1.5,1,10
chicken yakhni,110,2,12,5,1,1,150,40,1,1,10
mutton do pyaza,240,12,12,16,2,2,200,120,2,10,50
mutton chops,300,10,15,20,1,1,200,40,1,5,20
shammi kebab,280,10,12,18,1,2,200,30,1,5,20
scotch egg,300,10,12,20,1,1,200,40,1,5,20
shepherd pie (non veg),200,20,10,8,2,2,200,40,1,15,30
chicken curry,180,8,14,10,2,2,200,40,1,10,30
tandoori chicken,200,4,18,10,1,1,200,50,1,20,60
butter chicken,220,8,14,12,2,2,200,50,1,15,40
chicken kebab,260,8,16,14,1,1,200,20,1,5,20
chilli chicken,240,12,14,14,2,2,250,20,1,20,40
fried chicken,260,12,14,16,2,2,200,30,1,10,30
fish curry,160,8,12,8,2,2,200,50,1,15,30
fried fish,280,10,12,18,1,1,200,20,1,5,20
fish and chips,300,20,10,18,1,1,200,20,1,10,20
tomato fish,200,10,10,12,2,2,200,20,1,20,30
baked fish cheese,180,8,12,10,2,1,200,100,1,10,30
fish tikka,160,6,18,6,1,1,200,40,1,5,20
tandoori fish,140,4,16,6,1,1,200,40,1,15,30
paneer fruit salad,120,12,4,6,6,2,150,100,1,20,40
russian salad,150,12,4,8,2,3,150,40,1,20,40
pasta salad,180,20,5,8,2,2,150,60,1,20,40
deviled egg,140,6,6,10,1,1,150,40,1,10,30
hawaiian salad,180,20,4,8,5,3,100,60,1,20,40
mixed pulse salad,120,18,5,2,2,3,150,50,2,20,50
sprouted moong salad,80,12,4,1,2,2,100,40,1,20,40
tossed salad,80,8,2,4,2,2,100,30,1,30,40
veg salad curd,100,10,4,3,2,3,150,60,1,20,40
potato salad,120,18,2,4,3,2,150,30,1,20,40
waldorf salad,160,18,2,8,6,2,100,30,1,20,40
coleslaw,120,10,2,6,4,2,100,40,1,20,40
fruit salad,90,20,1,1,10,2,50,30,1,30,40
tomato onion raita,60,6,3,2,4,1,150,120,1,10,30
peanut raita,150,10,7,8,6,2,200,150,1,5,30
moong raita,80,8,5,2,4,1,150,120,1,5,30
lauki raita,70,6,4,2,4,1,150,120,1,5,30
cucumber raita,70,6,4,2,4,1,150,120,1,5,30
mint raita,90,8,5,3,5,1,200,150,1,5,30
potato raita,100,12,4,3,4,1,150,120,1,10,30
boondi raita,180,15,5,8,4,1,150,120,1,5,30
dahi vada,200,18,6,10,3,2,150,120,1,5,20
imli chutney,120,30,1,0,25,1,200,50,2,1,5
rice kheer,120,18,3,4,8,1,50,100,0.5,5,20
makhana kheer,140,20,4,5,10,1,50,120,0.5,5,20
seviyan kheer,150,22,4,5,10,1,50,120,0.5,5,20
suji halwa,250,30,4,10,12,2,50,20,1,1,10
gajar halwa,200,25,4,8,12,2,80,100,1,5,30
egg halwa,260,28,8,12,15,1,80,40,1,1,20
aloo halwa,180,30,3,5,15,1,50,20,1,10,20
pumpkin halwa,200,28,3,8,18,2,50,20,1,5,20
moong dal halwa,300,35,8,14,20,3,50,100,1.5,1,30
caramel custard,120,15,5,4,12,0,50,90,0.5,2,30
baked custard,110,12,5,4,10,0,50,90,0.5,2,30
soft custard,115,14,5,4,11,0,80,90,0.5,2,30
chocolate ice cream,200,22,4,10,18,0,40,80,0.5,2,30
mango ice cream,160,20,3,7,15,1,40,70,0.5,20,50
fruit ice cream,190,24,4,9,18,1,40,90,0.5,5,20
caramel ice cream,200,22,4,10,18,0,40,90,0.5,2,20
lemon souffle,170,18,6,8,12,0,60,60,0.6,10,30
orange souffle,170,18,6,8,12,0,60,60,0.6,15,30
vanilla souffle,190,20,7,9,13,0,60,70,0.6,2,30
chocolate souffle,200,22,7,10,14,0,60,70,0.7,2,30
pineapple souffle,190,20,7,9,13,0,60,70,0.6,5,30
apple mousse,120,15,4,4,10,2,30,40,0.5,10,30
chocolate mousse,200,18,6,12,12,0,50,60,1,2,30
mango mousse,150,18,3,7,12,1,30,50,0.5,20,50
trifle pudding,150,20,3,5,12,1,50,60,0.5,10,30
kulfi,180,20,4,8,15,0,40,120,0.5,5,20
cheese pudding,250,20,10,15,15,0,80,200,1,2,40
chocolate pudding,200,28,4,8,18,1,100,60,0.5,2,20
bread butter pudding,180,22,6,7,12,1,100,100,1,2,20
burfi,400,40,8,20,25,1,50,300,1.5,0,20
coconut burfi,420,40,6,25,25,3,50,250,1.5,0,20
kaju katli,450,35,6,28,28,1,20,50,2,0,5
besan ladoo,450,50,9,20,30,2,50,100,1.5,0,30
til ladoo,400,40,10,18,30,3,100,200,3,0,20
milk cake,200,20,6,10,10,1,50,100,0.5,5,20
gulab jamun,300,35,5,12,20,0,50,60,0.5,0,15
malpua,320,35,5,15,18,1,50,50,0.5,1,10
shahi tukda,300,40,6,12,20,1,100,100,1,2,20
pakora (aloo),280,25,5,14,2,2,200,30,1,10,30
onion pakora,280,25,5,14,2,2,200,30,1,10,30
cauliflower pakora,260,22,5,13,2,3,200,30,1,15,30
mixed veg pakora,270,24,5,13,2,2,200,30,1,15,30
palak pakora,250,20,5,12,2,3,200,40,1,20,40
methi pakora,260,22,5,12,2,3,200,40,1,20,40
egg pakora,290,18,8,16,2,1,200,40,1,0,30
bread pakora,300,30,6,14,2,2,200,50,1,5,30
paneer pakora,320,18,10,18,2,1,200,120,1,5,40
aloo bonda,280,30,5,14,2,2,200,30,1,10,20
aloo samosa,300,35,6,15,2,2,200,30,1,10,20
keema samosa,320,28,10,18,2,1,200,30,1,5,20
paneer samosa,320,30,8,18,2,2,200,80,1,10,30
mathri,450,40,6,22,2,2,200,30,1,0,10
kachori,320,35,7,16,2,2,200,30,1,5,20
veg cutlet,250,22,5,14,2,2,200,40,1,15,30
poha cutlet,260,25,5,14,2,2,200,30,1,10,30
peanut cutlet,280,20,7,16,2,2,200,40,1,10,30
fish cutlet,270,15,10,16,2,1,200,30,1,10,20
paneer aloo cutlet,280,20,8,16,2,1,200,80,1,10,30
cheese toast,300,30,10,15,2,1,200,120,1,0,10
veg burger,280,30,8,12,2,2,200,40,1,10,20
cheese pizza,270,30,10,12,3,2,300,100,1,5,15
veg seekh kebab,260,18,8,14,2,1,200,40,1,10,20
masala vada,300,25,7,16,2,2,200,30,1,5,20
sabudana vada,320,30,5,18,2,1,200,20,1,10,20
veg scotch egg,300,20,8,18,2,1,200,40,1,10,30
paneer tikka,200,10,12,12,3,1,200,120,1,20,40
peanut chikki,450,40,10,20,30,2,50,80,2,0,10
spring roll,280,25,6,14,2,1,200,30,1,5,10
dry mango chutney,120,30,1,1,25,2,200,50,2,5,10
peanut chutney,250,12,10,18,3,5,200,40,2,5,10
coconut chutney,230,10,3,20,3,4,200,20,1,5,10
mint chutney,100,20,3,2,15,3,200,80,2,10,20
custard tart,250,30,5,12,10,1,80,60,1,2,10
lemon tart,300,35,6,15,12,1,80,40,1,2,10
jam tart,350,45,5,15,15,1,80,20,1,0,5
cream puff,250,20,5,15,6,1,100,40,1,1,10
chocolate eclair,270,25,5,15,15,1,100,40,1,1,15
cheese balls,300,10,8,20,2,1,200,80,1,0,10
meat patties,280,20,10,16,2,1,250,30,1,2,20
cheese patties,300,22,8,18,3,1,250,120,1,5,30
hot cheese souffle,180,10,9,10,3,0,250,150,1,2,60
hot potato souffle,140,18,5,5,2,1,150,60,1,15,60
hot fish souffle,160,8,12,8,1,0,150,60,1,2,60
hot spinach souffle,120,10,5,5,2,2,150,80,2,30,100
plain cream cake,300,45,5,12,25,1,150,40,1,1,10
apple cake,280,40,4,10,22,2,150,40,1,2,10
marble cake,300,45,5,12,25,1,150,40,1,1,10
chocolate cake,320,45,5,14,26,1,200,40,1,1,10
orange cake,300,45,5,12,26,1,150,30,1,5,10
fruit loaf,280,45,5,10,22,1,150,40,1,5,10
banana cake,320,40,5,14,22,2,150,30,1,2,10
chocolate chiffon cake,300,40,5,12,20,1,150,40,1,1,10
christmas cake,330,45,5,14,25,2,150,40,1,5,15
strawberry vanilla cake,320,40,4,14,28,1,150,30,1,5,10
eggless cake,280,45,6,10,25,1,200,150,1,2,10
swiss roll,280,45,6,8,30,1,100,30,1,1,10
pineapple pastry,260,30,5,10,20,1,100,40,1,5,20
black forest pastry,280,35,5,12,22,1,100,40,1,2,20
coconut finger,300,40,6,10,25,2,100,30,1,0,15
pineapple cake,250,30,5,9,18,1,100,50,1,20,40
chocolate walnut cookies,450,50,6,22,22,2,200,40,1,1,5
chocolate chip cookies,450,55,5,20,30,1,200,30,1,0,5
plain biscuit,400,55,6,18,20,1,150,40,1,0,5
chocolate biscuit,400,55,6,18,22,1,150,40,1,0,5
coconut biscuit,450,45,6,25,20,3,150,40,1,0,5
sweet salty biscuit,420,50,6,20,10,2,400,40,1,0,5
peanut biscuit,420,45,8,20,20,2,200,50,1,0,5
pinwheel biscuit,420,55,5,18,22,1,150,40,1,0,5
kesar biscuit,450,60,6,20,22,2,100,30,1,0,5
masala biscuit,400,45,6,20,8,2,500,50,1,0,5
gingerbread,380,60,6,10,28,2,300,40,2,0,5
danish cookies,480,60,5,25,22,1,200,20,1,0,5
shortbread cookies,450,60,6,20,22,1,150,20,1,0,5
coffee biscuit,420,45,7,22,20,2,150,50,1,0,5
melting moments,450,55,6,22,25,2,150,30,1,0,5
ginger biscuit,420,55,6,18,25,1,100,30,2,0,5
soyabean muthia,250,20,12,8,2,3,150,40,1,5,30
soyabean tikki,280,18,12,10,2,3,150,50,1,10,40
soyabean namak para,400,40,8,18,2,2,200,30,1,0,20
peanut burfi,450,45,9,22,30,3,50,40,1,0,10
spinach peanut para,350,25,6,18,2,2,150,40,1,10,30
besan suji cheela,200,20,7,6,2,3,150,30,1,5,30
rice moong dal cheela,220,25,7,6,2,3,150,30,1,2,20
chana dal sweet rice,220,40,5,4,18,3,50,30,2,0,40
sweet poori,300,40,6,12,8,2,150,30,1,0,20
atta moong dal burfi,420,55,10,18,30,3,50,30,2,0,10
palak burfi,150,15,3,7,12,2,50,90,1,10,40
puran poli,300,55,9,6,25,5,100,50,2,0,30
sprouted moong daliya,120,18,5,2,2,4,150,30,1.5,8,30
sprouted moong poha,160,25,6,4,2,3,200,30,2,15,40
bajra ladoo,320,45,8,10,25,6,50,120,4,0,20
paushtik ladoo,420,50,8,18,30,4,50,30,2,0,15
paushtik roti,140,25,6,2,2,5,150,50,2,5,40
suji carrot vada,300,30,6,14,2,2,200,30,1,5,20
dhokla,150,25,6,3,3,3,300,100,1.5,2,30
kehwa tea,10,2,0,0,2,0,5,5,0.1,1,2
hot coffee,10,2,0.3,0.2,2,0,5,5,0.1,0,2
hot chocolate,90,12,3,3.5,10,0,30,120,0.5,2,15
cold coffee with cream,100,14,3,4,12,0,30,80,0.5,2,15
banana milkshake ice cream,120,18,3,4,15,1,30,100,0.5,5,20
flavoured milkshake,110,16,3,4,14,0,30,100,0.5,2,15
jal jeera,25,6,0.2,0.1,5,1,200,20,0.5,2,5
gingo drink,50,12,0.2,0.1,11,0.2,20,5,0.2,5,5
mintade,45,11,0.1,0.1,10,0.1,25,5,0.1,5,5
kanji,10,1,0.3,0.2,0.5,0.5,50,5,0.2,1,5
cauliflower kanji,10,1,0.4,0.2,0.5,0.5,50,5,0.2,5,8
potato kanji,20,4,0.5,0.2,0.5,0.5,50,5,0.2,5,6
vermicelli porridge,120,18,3,3,6,1,80,70,0.5,5,20
suji upma,150,22,4,5,2,3,150,30,1,5,15
vermicelli upma,150,22,4,5,2,3,150,30,1,5,15
rice upma,160,25,3,5,2,2,150,20,1,5,10
bread upma,170,22,4,6,2,2,200,40,1,5,15
veg upma,160,22,5,4,2,4,200,30,1,15,40
poha,180,30,4,6,2,3,200,30,2,10,20
moong dal cheela,150,20,7,5,1,4,200,40,2,20,60
paneer cheela,200,20,10,8,3,3,200,150,2,15,80
egg bhurji,140,4,7,10,2,1,200,40,1,5,20
french omelette,180,2,10,14,1,0,250,50,1.5,1,25
puffy omelette,170,2,9,13,1,0,250,40,1.5,1,25
orange omelette,180,3,9,13,2,0,250,40,1.5,5,30
cheese mushroom omelette,200,3,10,15,2,1,300,150,1.5,2,30
spanish omelette,160,6,8,11,2,2,250,40,1.5,10,40
mixed stock,30,1,3,1,0,0,50,10,0.5,2,10
meat stock,30,0,3,1,0,0,50,10,0.5,0,5
white stock,10,1,0.5,0.5,0,0,10,5,0.2,2,10
meat consomme,80,1,10,3,0,0,300,50,1.5,2,10
consomme julienne,80,2,9,3,1,1,300,50,1.5,10,30
consomme vermicelli,90,5,9,3,1,1,300,50,1.5,2,15
green pea soup,120,15,6,3,2,4,300,50,1.5,15,40
spinach soup,110,10,5,4,1,3,300,60,2,20,80
mixed veg soup,100,12,4,3,2,3,300,50,1.5,15,40
cheese soup,150,10,6,8,2,2,350,80,1.5,5,20
mulligatawny soup,140,12,6,5,2,3,300,40,1.5,5,20
cream carrot soup,120,12,4,5,2,2,300,50,1.5,10,30
cream broccoli soup,120,10,5,5,2,2,300,60,1.5,30,50
cream potato soup,130,15,4,6,2,2,300,50,1.5,15,30
almond soup,160,10,6,9,2,1,300,100,2,5,30
cold cucumber soup,40,5,2,1,2,1,150,20,0.5,10,20
cold tomato soup,40,6,2,1,2,1,150,20,0.5,10,10
chicken stew,130,6,10,6,2,2,150,40,1,10,30
veg paneer stew,150,10,7,8,4,3,150,150,1.5,20,80
onion chilli paratha,220,30,5,10,2,4,200,30,2,5,20
methi paratha,180,25,5,7,2,4,150,60,2,10,30
bathua poori,300,30,5,15,2,2,200,30,1,5,20
besan poori,320,28,6,16,2,2,200,30,1,5,20
beetroot poori,280,30,5,14,2,2,200,30,1,5,20
matar poori,300,30,6,15,2,2,200,30,1,5,20
matar kachori,320,35,7,16,2,2,200,30,1,5,20
pizza,270,30,10,12,3,2,300,100,1,5,15
bacon mushroom pancake,180,10,8,12,2,1,300,50,1,2,15
cheese tomato pancake,170,12,6,10,3,1,300,120,1,10,20
chicken pancake,200,12,12,12,2,1,300,60,1,2,20
vangi bhat,180,30,5,4,3,4,150,40,2,5,60
kashmiri tahar,120,20,3,2,1,1,100,10,0.5,0,10
jeera pulao,150,25,3,4,1,2,200,20,0.5,2,15
matar pulao,140,22,4,3,1,3,200,30,1,20,50
chana dal veg pulao,140,22,4,3,1,3,200,30,1,15,50
black chana pulao,150,24,5,3,1,3,200,30,1,10,50
mutton pulao,200,20,10,10,1,2,250,50,2,5,30
chicken pulao,180,20,9,8,1,2,250,40,1,5,30
mexican rice,150,20,5,5,2,2,150,20,1,15,40
plain khichdi,100,18,3,2,1,1,100,10,0.5,1,20
idli (rava),150,25,6,3,2,3,200,80,1,1,10
plain dosa,200,35,6,6,1,3,150,20,1,0,10
masala dosa veg,180,30,5,6,2,3,150,30,1,20,60
masala dosa paneer,220,30,8,8,3,3,200,150,1,10,70
uttapam,200,30,6,6,2,3,200,40,1,5,20
appam,180,20,3,6,2,2,100,20,1,2,20
beans macaroni,180,25,5,6,2,2,200,80,1,10,50
spaghetti bolognese,180,20,10,8,3,2,300,70,2,10,40
macaroni meat casserole,200,22,10,9,2,2,300,70,2,10,45
spaghetti meatballs,190,22,8,9,3,2,300,60,1,12,50
spaghetti paneer balls,200,24,7,9,4,2,300,80,1,12,70
lasagne meat,150,18,8,6,3,2,250,60,1,10,50
lasagne veg,130,18,5,5,3,2,250,70,1,15,80
